Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.38600723763570566,0.1232876712328767,0.38600723763570566,0.1232876712328767,0.38600723763570566,0.1232876712328767
Precision,0.07983854141589226,0.2814531272569695,0.38600723763570566,0.1232876712328767,0.8800385143000716,0.4362171756246302
Recall,0.035864015538812286,0.2937849257189587,0.38600723763570566,0.1232876712328767,0.38600723763570566,0.1232876712328767
F1 Score,0.04947901999436778,0.12322844102810473,0.38600723763570566,0.1232876712328767,0.5365881066479515,0.11783849239385454
Jaccard Index,0.03263914927300754,0.06567550978653755,0.23916292974588937,0.06569343065693431,0.3697094972597666,0.06261496881069582
silhouette,0.7943127937725308,0.8561588236430766,0.7943127937725308,0.8561588236430766,0.7943127937725308,0.8561588236430766
