Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.7949743003997716,0.20502569960022843,0.7949743003997716,0.20502569960022843,0.7949743003997716,0.20502569960022843
Precision,0.8398751115075825,0.1601248884924175,0.7949743003997716,0.20502569960022843,0.8606337349729045,0.18088351195773947
Recall,0.8185035389282103,0.18149646107178968,0.7949743003997716,0.20502569960022843,0.7949743003997716,0.20502569960022843
F1 Score,0.7938024855530958,0.1701421800947867,0.7949743003997716,0.20502569960022843,0.7917873191122214,0.19219944730296296
Jaccard Index,0.6583786504357929,0.10251284980011421,0.6597156398104266,0.11422208081450844,0.6556080353726761,0.11580263672451507
silhouette,0.6289036640867333,0.6289036640867333,0.6289036640867333,0.6289036640867333,0.6289036640867333,0.6289036640867333
