Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.3409480296973158,0.6590519703026841,0.3409480296973158,0.6590519703026841,0.3409480296973158,0.6590519703026841
Precision,0.2196467991169978,0.7803532008830022,0.3409480296973158,0.6590519703026841,0.24812185531320483,0.8088282570792092
Recall,0.3018200202224469,0.6981799797775531,0.3409480296973158,0.6590519703026841,0.3409480296973158,0.6590519703026841
F1 Score,0.2542589437819421,0.6431167788341883,0.3409480296973158,0.6590519703026841,0.28722112552865875,0.6333403235278408
Jaccard Index,0.1704740148486579,0.4785331806605553,0.20550774526678142,0.49148211243611584,0.19257430118255014,0.46788022738189344
silhouette,0.8326496286156272,0.8326496286156272,0.8326496286156272,0.8326496286156272,0.8326496286156272,0.8326496286156272
