Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.8954882924043404,0.10451170759565963,0.8954882924043404,0.10451170759565963,0.8954882924043404,0.10451170759565963
Precision,0.8930270574079351,0.10697294259206484,0.8954882924043404,0.10451170759565963,0.8960470592683891,0.10999294445251884
Recall,0.8952831540647914,0.10471684593520855,0.8954882924043404,0.10451170759565963,0.8954882924043404,0.10451170759565963
F1 Score,0.8940214614205416,0.10438288599799057,0.8954882924043404,0.10451170759565961,0.8956378237182226,0.105775386125175
Jaccard Index,0.8085832035306334,0.05509926175544605,0.8107549120992761,0.055137089484784574,0.8112264064504305,0.05587432642717442
silhouette,0.21080347895622253,0.21080347895622253,0.21080347895622253,0.21080347895622253,0.21080347895622253,0.21080347895622253
