Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.3249571673329526,0.6317152103559871,0.3249571673329526,0.6317152103559871,0.3249571673329526,0.6317152103559871
Precision,0.04749979130144419,0.7862509391435011,0.3249571673329526,0.6317152103559871,0.24145953305205867,0.7891562661842692
Recall,0.06392540164026514,0.6366538952745849,0.3249571673329526,0.6317152103559871,0.3249571673329526,0.6317152103559871
F1 Score,0.054501915708812264,0.5787146436921851,0.3249571673329526,0.6317152103559871,0.2770539987002501,0.5766836000791562
Jaccard Index,0.03610635192588362,0.4229048344180861,0.19399931810433005,0.4616840113528855,0.18354234065807545,0.42087147654025614
silhouette,0.8202753790232282,0.8900630495700976,0.8202753790232282,0.8900630495700976,0.8202753790232282,0.8900630495700976
