Metric,Original,Adjusted
Accuracy,0.6710451170759566,0.3289548829240434
Precision,0.5695067264573991,0.0
Recall,1.0,0.0
F1 Score,0.7257142857142856,0.0
Jaccard Index,0.5695067264573991,0.0
