Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.001142204454597373,0.7142857142857143,0.001142204454597373,0.7142857142857143,0.001142204454597373,0.7142857142857143
Precision,0.020833333333333332,0.5,0.001142204454597373,0.7142857142857143,0.5648201027984009,1.0
Recall,4.213009774182676e-05,0.35714285714285715,0.001142204454597373,0.7142857142857143,0.001142204454597373,0.7142857142857143
F1 Score,8.409014463504877e-05,0.41666666666666663,0.001142204454597373,0.7142857142857143,0.002279798598580831,0.8333333333333333
Jaccard Index,4.213009774182676e-05,0.35714285714285715,0.0005714285714285715,0.5555555555555556,0.001142204454597373,0.7142857142857143
silhouette,0.48253479088230433,0.951320622005008,0.48253479088230433,0.951320622005008,0.48253479088230433,0.951320622005008
