Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.7932609937178755,0.2067390062821245,0.7932609937178755,0.2067390062821245,0.7932609937178755,0.2067390062821245
Precision,0.8389679715302492,0.1610320284697509,0.7932609937178755,0.2067390062821245,0.8598441968087377,0.18190825374823943
Recall,0.8169868554095046,0.18301314459049545,0.7932609937178755,0.2067390062821245,0.7932609937178755,0.2067390062821245
F1 Score,0.7920247419757882,0.17132039753904402,0.7932609937178754,0.2067390062821245,0.7899460075650192,0.19353040909893152
Jaccard Index,0.6559548269397537,0.10336950314106225,0.657359204921912,0.11528662420382166,0.6531051905266132,0.1167703467807088
silhouette,0.5857090301578279,0.5857090301578279,0.5857090301578279,0.5857090301578279,0.5857090301578279,0.5857090301578279
