Metric,Value,Adj-Value
Accuracy,0.8954882924043404,0.10451170759565963
Precision,0.8928450560117533,0.10715494398824671
Recall,0.8973916493502013,0.1026083506497987
F1 Score,0.894396992799368,0.10380989685337513
Jaccard Index,0.8091381497204391,0.05493110186173883
Silhouette,0.0262483898550272,0.0262483898550272
