eva_row,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-Score,TNR,FPR
29,762,0,43,946,0.4597372929754426,1.0,0.446135831381733,0.617004048582996,1.0,0.0
32,762,0,43,946,0.4597372929754426,1.0,0.446135831381733,0.617004048582996,1.0,0.0
25,762,0,0,989,0.4351798972015991,1.0,0.4351798972015991,0.6064464783127737,0.0,0.0
24,762,0,0,989,0.4351798972015991,1.0,0.4351798972015991,0.6064464783127737,0.0,0.0
28,762,0,43,946,0.4597372929754426,1.0,0.446135831381733,0.617004048582996,1.0,0.0
Precision Mean,,,,,,1.0,,,,
