Metric,Original,Adjusted
accuracy,0.034266133637921185,0.8970840480274442
precision,0.021505376344086023,0.8924731182795699
recall,0.006066734074823053,0.9175824175824177
f1_score,0.00946372239747634,0.8948488565038597
jaccard,0.004966887417218542,0.8100555358619874
silhouette,0.474382710347203,0.7746616336116324
