Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.6927470017133067,0.30725299828669334,0.6927470017133067,0.30725299828669334,0.6927470017133067,0.30725299828669334
Precision,0.793076923076923,0.20692307692307693,0.6927470017133067,0.30725299828669334,0.8199024733119537,0.23374862715810746
Recall,0.7280080889787665,0.27199191102123355,0.6927470017133067,0.30725299828669334,0.6927470017133067,0.30725299828669334
F1 Score,0.6827385763552107,0.23503713411970292,0.6927470017133067,0.30725299828669334,0.6754333912867612,0.26550739650986427
Jaccard Index,0.5210850120556895,0.15362649914334667,0.5299257317605941,0.1815114709851552,0.5126494750252604,0.17354267007740704
silhouette,0.7929128226124529,0.7929128226124529,0.7929128226124529,0.7929128226124529,0.7929128226124529,0.7929128226124529
