Metric,Original,Adjusted
Accuracy,0.33923472301541974,0.6607652769845802
Precision,0.0,0.5619469026548672
Recall,0.0,1.0
F1 Score,0.0,0.7195467422096318
Jaccard Index,0.0,0.5619469026548672
silhouette,0.8334190338276105,0.8334190338276105
