eva_row,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-Score,TNR,FPR
14,539,223,53,936,0.3380925185608224,0.7073490813648294,0.3654237288135593,0.4818953956191327,0.1920289855072463,0.8079710144927537
16,386,376,317,672,0.4014848657909766,0.5065616797900262,0.3648393194706994,0.4241758241758241,0.4574314574314574,0.5425685425685426
15,386,376,317,672,0.4014848657909766,0.5065616797900262,0.3648393194706994,0.4241758241758241,0.4574314574314574,0.5425685425685426
20,384,378,343,646,0.415191319246145,0.5039370078740157,0.3728155339805825,0.4285714285714285,0.4757281553398058,0.5242718446601942
25,384,378,366,623,0.4283266704740148,0.5039370078740157,0.381330685203575,0.4341435839457321,0.4919354838709677,0.5080645161290323
Precision Mean,,,,,,0.5456692913385827,,,,
