Metric,Original Macro,Original Micro,Original Weighted,Adjusted Macro,Adjusted Micro,Adjusted Weighted
Accuracy,0.5648201027984009,0.5648201027984009,0.5648201027984009,0.4351798972015991,0.4351798972015991,0.4351798972015991
Precision,0.28241005139920045,0.5648201027984009,0.31902174852519616,0.21758994860079955,0.4351798972015991,0.18938154292839435
Recall,0.5,0.5648201027984009,0.5648201027984009,0.5,0.4351798972015991,0.4351798972015991
F1 Score,0.360948905109489,0.5648201027984009,0.40774239537782364,0.3032232391563868,0.4351798972015991,0.2639133160904246
Jaccard Index,0.28241005139920045,0.3935535216872264,0.31902174852519616,0.21758994860079955,0.2781021897810219,0.18938154292839435
Silhouette Score,,,,,,
