Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.33066818960593947,0.6693318103940605,0.33066818960593947,0.6693318103940605,0.33066818960593947,0.6693318103940605
Precision,0.21588366890380314,0.7841163310961969,0.33066818960593947,0.6693318103940605,0.24387087212548406,0.8121035343178779
Recall,0.29271991911021233,0.7072800808897877,0.33066818960593947,0.6693318103940605,0.33066818960593947,0.6693318103940605
F1 Score,0.2484978540772532,0.6554059910329265,0.33066818960593947,0.6693318103940605,0.2807131669701924,0.6464254200244679
Jaccard Index,0.16533409480296973,0.49139641198598455,0.19808416010947658,0.5030042918454936,0.18676804084538784,0.48143534471193833
silhouette,0.8338865351433179,0.8338865351433179,0.8338865351433179,0.8338865351433179,0.8338865351433179,0.8338865351433179
