Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.33923472301541974,0.6607652769845802,0.33923472301541974,0.6607652769845802,0.33923472301541974,0.6607652769845802
Precision,0.21902654867256638,0.7809734513274336,0.33923472301541974,0.6607652769845802,0.2474211954736358,0.8093680981285031
Recall,0.30030333670374115,0.6996966632962589,0.33923472301541974,0.6607652769845802,0.33923472301541974,0.6607652769845802
F1 Score,0.25330490405117273,0.6451779953822725,0.33923472301541974,0.6607652769845802,0.2861434038910449,0.6355368157535971
Jaccard Index,0.16961736150770987,0.48067011462369247,0.20426409903713894,0.4933901918976546,0.19160659112635642,0.47013337511308334
silhouette,0.8329053207611242,0.8329053207611242,0.8329053207611242,0.8329053207611242,0.8329053207611242,0.8329053207611242
