Metric,Macro_Original,Macro_Adjusted,Micro_Original,Micro_Adjusted,Weighted_Original,Weighted_Adjusted
Accuracy,0.6956025128498001,0.3043974871501999,0.6956025128498001,0.3043974871501999,0.6956025128498001,0.3043974871501999
Precision,0.7942084942084942,0.2057915057915058,0.6956025128498001,0.3043974871501999,0.8208873473293805,0.23247035891239204
Recall,0.7305358948432761,0.269464105156724,0.6956025128498001,0.3043974871501999,0.6956025128498001,0.3043974871501999
F1 Score,0.6860133260888215,0.23336252189141857,0.6956025128498001,0.3043974871501999,0.6788997790471805,0.2636156872080102
Jaccard Index,0.5247443890517702,0.15219874357509994,0.5332749562171629,0.17952172448635903,0.5164898601791805,0.1719298199837508
silhouette,0.7901397586760444,0.7901397586760444,0.7901397586760444,0.7901397586760444,0.7901397586760444,0.7901397586760444
